user_id,subscription_period,address,card
1,monthly,69968 Merchant Crossing,5142417296943330
2,monthly,09 Schmedeman Park,5142417296943330
3,monthly,4784 Fuller Pass,5010128298983960
4,monthly,4 Heffernan Parkway,5010121783617510
5,monthly,15381 Service Pass,5100133533782870
6,monthly,1 Pepper Wood Junction,5100147104388740
7,monthly,561 Maywood Trail,5421178792921450
8,monthly,5202 Rieder Road,5007664657807400
9,monthly,9 Crowley Lane,5108750480143940
10,monthly,3 Muir Court,5473414801767590
11,monthly,54177 Columbus Crossing,5048379961490840
12,monthly,02 Farwell Plaza,5100134977869420
13,monthly,328 Twin Pines Junction,5048374889946850
14,monthly,65036 Jana Point,5007661006235870
15,monthly,061 Butterfield Alley,5048370049174820
16,monthly,605 Killdeer Alley,5100171320672240
17,monthly,9489 Johnson Point,5100139693902180
18,monthly,23911 International Alley,5108759859893870
19,monthly,658 3rd Way,5367372935729180
20,monthly,7839 Maple Wood Parkway,5100144150464090
21,monthly,6 Brentwood Crossing,5100142992509910
22,monthly,99328 Bayside Plaza,5108757232653660
23,monthly,65 Scott Circle,5108753928036550
24,monthly,65 Manitowish Way,5404222409370670
25,monthly,126 Arrowood Terrace,5100130025312400
26,monthly,8484 Stone Corner Drive,5559232295208840
27,monthly,117 Fairview Hill,5160295228300380
28,monthly,0 Muir Parkway,5433345628323720
29,monthly,85333 Johnson Center,5002351546008510
30,monthly,1024 Sherman Terrace,5100139564689200
31,monthly,73256 Memorial Road,5439515556408830
32,monthly,56728 Artisan Way,5591908235527470
33,monthly,4620 Meadow Valley Street,5252147225707260
34,monthly,852 Westridge Junction,5574643867292710
35,monthly,1808 Summer Ridge Terrace,5253061075189920
36,monthly,63 Maywood Point,5100141276037420
37,monthly,305 Kropf Center,5284095912849420
38,monthly,9695 Porter Avenue,5010122773057540
39,monthly,676 Moland Junction,5235340956591380
40,monthly,557 Chinook Drive,5516944459339930
41,monthly,798 Mallory Terrace,5474461551584670
42,monthly,39196 Thierer Circle,5100317714615590
43,monthly,61421 Delladonna Lane,5048375844076590
44,monthly,07 Orin Parkway,5270823219342850
45,monthly,196 American Crossing,5108759189892320
46,monthly,66 Artisan Parkway,5002354444275870
47,monthly,350 Havey Point,5010129886658750
48,monthly,221 Talisman Junction,5576573483344050
49,monthly,1 Victoria Crossing,5237080722709000
50,monthly,95820 Di Loreto Court,5002354990757530
51,monthly,78 Express Point,5108755126954000
52,monthly,39370 Stuart Lane,5132641551610770
53,monthly,6904 Spenser Junction,5100171376933590
54,monthly,2034 Tennyson Court,5479678696308640
55,monthly,63446 Red Cloud Avenue,5411589331425310
56,monthly,83 Orin Parkway,5007661061810950
57,monthly,33 Crest Line Alley,5048375851004660
58,monthly,95 Nobel Trail,5302556717653040
59,monthly,570 Mayfield Pass,5048375719158400
60,monthly,62 Armistice Lane,5341236979538360
61,monthly,06 Hovde Way,5343096299515450
62,monthly,2 Derek Trail,5010121322597310
63,monthly,53 David Park,5002357801565650
64,monthly,0343 Golf View Pass,5100176175639500
65,monthly,424 Anhalt Drive,5002355966638090
66,monthly,7238 Maywood Junction,5254318225581770
67,monthly,08 Algoma Point,5358509940846620
68,monthly,61 Brown Street,5048370750426240
69,monthly,5 Vidon Avenue,5010121235739200
70,monthly,4363 Warbler Center,5100178106596770
71,monthly,447 Muir Road,5593125821174440
72,monthly,47511 High Crossing Trail,5567169777848180
73,monthly,52 Carberry Hill,5002359055927390
74,monthly,8906 Judy Terrace,5010129513908290
75,monthly,86608 Daystar Way,5294800819806600
76,monthly,828 Warrior Terrace,5344071680707770
77,monthly,291 Warner Center,5048379609831250
78,monthly,625 Homewood Avenue,5108755295364840
79,monthly,96638 Stang Street,5002355888696440
80,monthly,9728 Hollow Ridge Parkway,5100170168592030
81,monthly,7 Pond Plaza,5007660584800760
82,monthly,1068 Menomonie Circle,5543000657946570
83,monthly,306 Golf View Pass,5010129899943400
84,monthly,9580 Oxford Place,5522911389986180
85,monthly,2 Crowley Place,5007665339275800
86,monthly,8743 Michigan Drive,5391051008105530
87,monthly,0 Bunker Hill Way,5469102175806560
88,monthly,02539 Carey Plaza,5425835815701890
89,monthly,0578 Hoffman Court,5100145283663960
90,monthly,28467 Ryan Lane,5100147915267240
91,monthly,3 Eagan Trail,5100142195309430
92,monthly,1243 Mallory Lane,5007663788897380
93,monthly,15871 Scoville Lane,5010127012059590
94,monthly,46 Golden Leaf Junction,5108752391480400
95,monthly,580 Blackbird Trail,5172037176518830
96,monthly,55 Union Park,5048377740699650
97,monthly,78 Lakewood Gardens Park,5255507346471850
98,monthly,1 Northview Center,5002352725317880
99,monthly,13 Hanover Avenue,5048377005592620
100,monthly,73 Hoard Road,5386893057946440
101,monthly,085 Hudson Center,5100131660508400
102,monthly,07345 Cody Way,5339337914937280
103,monthly,6425 Fallview Hill,5007669507768580
104,monthly,11 Mendota Way,5100130152624230
105,monthly,6 Heath Lane,5100177780800330
106,monthly,444 Sunnyside Road,5100171196867540
107,monthly,8 Arapahoe Drive,5507496867565200
108,monthly,05892 Kenwood Plaza,5406923249292100
109,monthly,51387 Forest Run Plaza,5522197221596380
110,monthly,430 Pierstorff Terrace,5100176159852470
111,monthly,07 3rd Trail,5108759173228130
112,monthly,309 Armistice Pass,5451246785073390
