user_id,graduation_date,school_domain,student_email,fee
1033,2022-05-19,iowlak.edu,albertking@iowlak.edu,50
1072,2022-05-09,sarlaw.edu,robertnighthawk@sarlaw.edu,50
1202,2022-12-03,yesmik.edu,delbertmcclinton@yesmik.edu,50
1235,2022-11-06,chasou.edu,cream@chasou.edu,50
1280,2022-02-28,stecol.edu,therollingstones@stecol.edu,50
1324,2022-03-23,censta.edu,samburchfield@censta.edu,50
1386,2022-10-02,mircol.edu,gayealegbalola@mircol.edu,50
1400,2022-07-10,mancol.edu,bluestraveler@mancol.edu,50
1456,2022-08-19,marcom.edu,josephhaydn@marcom.edu,50
1467,2022-04-14,norhos.edu,csarfranck@norhos.edu,50
1486,2022-06-04,havcol.edu,tomasoalbinoni@havcol.edu,50
1537,2022-03-05,therea.edu,zoltnkodly@therea.edu,50
1661,2022-05-29,maccol.edu,maxrichter@maccol.edu,50
1696,2022-06-27,uniof.edu,alexanderlitvinovsky@uniof.edu,50
1723,2022-11-24,idasta.edu,ignazfriedman@idasta.edu,50
1735,2022-01-30,yavcol.edu,antniocarlosgomes@yavcol.edu,50
1749,2022-04-23,wascou.edu,gregorjosephwerner@wascou.edu,50
1869,2022-01-23,henfor.edu,j.j.johnson@henfor.edu,50
1894,2022-03-02,klacom.edu,joshuaredmanquartet@klacom.edu,50
1905,2022-07-01,tusuni.edu,barryharris@tusuni.edu,50
1967,2022-06-08,yessha.edu,phronesis@yessha.edu,50
1976,2022-06-08,moonor.edu,esbjrnsvenssontrio@moonor.edu,50
2045,2022-03-15,masbay.edu,glennmiller@masbay.edu,50
2087,2022-03-14,nicsta.edu,idasand@nicsta.edu,50
2104,2022-07-18,rydmem.edu,warnemarsh@rydmem.edu,50
2119,2022-08-27,deltec.edu,gangstarr@deltec.edu,50
2123,2022-10-05,holuni.edu,krsone@holuni.edu,50
2172,2022-09-11,ohista.edu,clipse@ohista.edu,50
2201,2022-11-15,humres.edu,lupefiasco@humres.edu,50
2273,2022-11-14,geomil.edu,djjazzyjeffthefreshprince@geomil.edu,50
2349,2022-08-03,rocuni.edu,kurtisblow@rocuni.edu,50
2353,2022-04-14,norwis.edu,mickjenkins@norwis.edu,50
2371,2022-08-28,uniof.edu,50cent@uniof.edu,50
2424,2022-10-28,utames.edu,med@utames.edu,50
2455,2022-01-21,westhe.edu,djkhaled@westhe.edu,50
